order_id,customer_id,order_date,city,zip_code,payment_method,product_category,satisfaction_level,rating,items_count,area_m2,rooms,discount_pct,total_price,age,review_text
ORD-1001,CUST-001,2025-15-01,Cairo,11765,Visa,Electronics,high,5,2,120.5,3,10,5400,29,"Great service and fast delivery"
ORD-1002,CUST-002,2025-12-02,Giza,12511,Cash,Groceries,medium,3,12,85.0,2,0,650,34,"okay quality, nothing special"
ORD-1003,CUST-003,2025-12-03,Alexandria,21500,Mastercard,Clothing,low,2,5,60.0,1,15,420,22,"not good, size was wrong"
ORD-1004,CUST-004,2025-12-04,Cairo,11765,Visa,Electronics,high,5,1,200.0,4,5,999999,41,"Excellent! will buy again"
ORD-1005,CUST-005,2025-12-05,New Cairo,11835,Visa,Home,medium,4,3,140.0,3,10,2100,27,"Delivery was late but product is good"
ORD-1006,CUST-006,2025-12-06,Giza,12511,Cash,Groceries,low,1,20,70.0,2,0,180,19,"terrible experience"
ORD-1007,CUST-007,2025-12-07,Cairo,11765,Visa,Beauty,medium,4,2,95.0,2,25,320,31,"Good value for money"
ORD-1008,CUST-008,2025-12-08,Alexandria,21500,Mastercard,Toys,high,5,4,110.0,3,5,760,26,"kids loved it"
ORD-1009,CUST-009,2025-12-09,Giza,12511,,Clothing,medium,3,6,80.0,2,10,530,23,""
ORD-1010,CUST-010,2025-12-10,Cairo,11765,Visa,Electronics,high,5,1,130.0,3,0,4800,-1,"Perfect"
ORD-1011,CUST-011,2025-12-11,New Cairo,11835,Cash,Home,low,2,2,150.0,4,5,,45,"Bad packaging"
ORD-1012,CUST-012,2025-12-12,Alexandria,21500,Visa,Groceries,medium,3,8,65.0,1,0,410,28,"average"
ORD-1013,CUST-013,2025-12-13,Cairo,11765,Mastercard,Beauty,high,4,3,90.0,2,15,260,33,"nice smell"
ORD-1014,CUST-014,2025-12-14,Giza,12511,Visa,Toys,medium,3,1,105.0,3,0,300,17,"ok"
ORD-1015,CUST-015,2025-12-15,Alexandria,21500,Cash,Clothing,low,2,7,75.0,2,10,490,24,"not worth it"
ORD-1016,CUST-016,2025-12-16,Cairo,11765,Visa,Electronics,medium,4,2,125.0,3,5,5100,38,"good"
ORD-1017,CUST-017,2025-12-17,New Cairo,11835,Mastercard,Home,high,5,1,160.0,4,20,2400,29,"Excellent quality"
ORD-1018,CUST-018,2025-12-18,Giza,12511,Cash,Groceries,medium,3,15,68.0,1,0,220,36,"fine"
ORD-1002,CUST-002,2025-12-02,Giza,12511,Cash,Groceries,medium,3,12,85.0,2,0,650,34,"okay quality, nothing special"
ORD-1019,CUST-019,2025-12-19,Cairo,11765,Visa,Beauty,,4,2,92.0,2,10,310,30,"good product"
